loop,model_accuracy_test,model_f1_score_test
0,0.6021006350757205,0.5783141772667545
1,0.604566431867865,0.5866233448118227
2,0.6262823644357597,0.611458705880694
3,0.6155349291646312,0.6014142052741799
4,0.6179775280898876,0.5977657554252575
5,0.6357160402849423,0.6207940972550676
6,0.6239130434782608,0.6043318609393021
7,0.6310420208889969,0.6212321294195511
8,0.6222826086956522,0.6130700129466666
9,0.5729468599033817,0.5601382103203747
10,0.5390815828041036,0.5187202298667412
11,0.6128715303365266,0.6040328356752411
12,0.6228571428571429,0.6063468218047201
13,0.629693675889328,0.622877224885219
14,0.6165119687347338,0.6095846778661299
15,0.6062530532486565,0.5913265464033268
16,0.559599413776258,0.544754926254377
17,0.5806057645334636,0.5661489849163422
18,0.6337138693223221,0.6212696388463242
19,0.6235177865612648,0.6170248660471865
20,0.5856205975224679,0.5636342663961749
21,0.6059936133628101,0.6026405140723662
22,0.6010375494071146,0.5949326440056839
23,0.6283701724556716,0.6097405902026455
24,0.6240840254030289,0.6090417885912647
25,0.6031090599951421,0.5850280756662649
26,0.6163537549407114,0.6082779769879157
27,0.5701581027667985,0.5574338140578404
28,0.6202407270940801,0.6084745792430071
29,0.6531509526135808,0.646954365296527
mean,0.6095062268503434,0.596112928887499
std,0.02486563567074518,0.02703916763975527
