loop,base_model_accuracy_PI,base_model_f1_score_PI,base_model_accuracy_M,base_model_f1_score_M,base_model_accuracy_C,base_model_f1_score_C,meta_model_accuracy,meta_model_f1_score
1,0.7275362318840579,0.690046870466737,0.7014492753623188,0.6862234117426974,0.6898550724637681,0.6522998781994285,0.8695652173913043,0.8677327747793224
2,0.8540372670807453,0.847602702711009,0.6118012422360248,0.5719260888578749,0.5900621118012422,0.5563327393213247,0.8291925465838509,0.8222557845740678
3,0.6202898550724638,0.560835042151178,0.6840579710144927,0.6480686298626744,0.6550724637681159,0.6372821794206129,0.7507246376811594,0.7262060990423465
4,0.855072463768116,0.8280715008167021,0.7478260869565218,0.7245633271004424,0.8521739130434782,0.8498209150457006,0.9333333333333333,0.9159352003394557
5,0.65527950310559,0.61622504680708,0.5559006211180124,0.5157920848610085,0.5248447204968945,0.4991286529388283,0.7049689440993789,0.6155911872893005
6,0.6057971014492753,0.5795400058907478,0.6376811594202898,0.6019027388179929,0.6463768115942029,0.6287227680974882,0.8492753623188406,0.8368945484674815
7,0.7478260869565218,0.7576681052428559,0.7072463768115942,0.6809706849407767,0.6115942028985507,0.57199784063638,0.8956521739130435,0.892481873386736
8,0.7681159420289855,0.7411843071315488,0.6202898550724638,0.5998602201955666,0.6927536231884058,0.6630583987559101,0.8347826086956521,0.8165857491307656
9,0.6782608695652174,0.6599679639052364,0.6231884057971014,0.619147371462128,0.7043478260869566,0.653212668147812,0.8666666666666667,0.8641262034464461
10,0.6318840579710145,0.6093403196467405,0.6144927536231884,0.5837229010946701,0.5855072463768116,0.5166411605193165,0.7594202898550725,0.7341325938477861
11,0.7246376811594203,0.694500538845489,0.6695652173913044,0.6449791763269727,0.45507246376811594,0.41077673539773946,0.8231884057971014,0.8205887134254444
12,0.7014492753623188,0.6872253747115249,0.5478260869565217,0.5058153641900044,0.5333333333333333,0.4821669776467047,0.7855072463768116,0.7648747415655431
13,0.6463768115942029,0.6301551202085746,0.5826086956521739,0.5562654918300972,0.5884057971014492,0.5735626359016723,0.7275362318840579,0.7165697761669326
14,0.7478260869565218,0.7076156072448261,0.7159420289855073,0.6932208108217285,0.7304347826086957,0.7109153771844411,0.8898550724637682,0.8748580328402772
15,0.6463768115942029,0.6002714331698277,0.5681159420289855,0.547178336796658,0.672463768115942,0.6325749444257738,0.8869565217391304,0.8772899445511503
16,0.6028985507246377,0.562657908118259,0.6289855072463768,0.5813738263847691,0.6492753623188405,0.592867814050185,0.7913043478260869,0.7528171177545395
17,0.7565217391304347,0.7261953237446108,0.43478260869565216,0.3664568820975281,0.37971014492753624,0.30400266098041584,0.5652173913043478,0.5319641096157716
18,0.8144927536231884,0.8073763211851354,0.7333333333333333,0.7049546872597704,0.6492753623188405,0.6190754448297167,0.9217391304347826,0.9145348224781144
19,0.6753623188405797,0.6515275733102249,0.5391304347826087,0.47141245739540316,0.6434782608695652,0.5916380276267862,0.8231884057971014,0.8157692704283597
20,0.8144927536231884,0.7895257374204743,0.6550724637681159,0.6254362668173741,0.4434782608695652,0.3721334654833865,0.9043478260869565,0.889893889929351
21,0.7536231884057971,0.7319720202241211,0.6695652173913044,0.6346150374403252,0.6753623188405797,0.6160032310634465,0.8608695652173913,0.8479447367949672
22,0.6869565217391305,0.68465421828434,0.6550724637681159,0.618933902438947,0.6869565217391305,0.670299750433485,0.8927536231884058,0.8936079940443106
23,0.7857142857142857,0.7824597013344471,0.577639751552795,0.5139754161196249,0.6801242236024845,0.6357422037038132,0.9316770186335404,0.925453245733858
24,0.8840579710144928,0.8851971917100949,0.7217391304347827,0.702449518596009,0.7014492753623188,0.6578852688985809,0.9101449275362319,0.9101996094914708
25,0.08115942028985507,0.08829489131582947,0.13043478260869565,0.11081856989870491,0.13333333333333333,0.11316917320410114,0.2289855072463768,0.22973123968044884
26,0.6057971014492753,0.6306554720036155,0.5362318840579711,0.5154556317561899,0.5855072463768116,0.5352619668636477,0.6811594202898551,0.6645068792036051
27,0.6985507246376812,0.684809856738553,0.5304347826086957,0.4874318270716413,0.6115942028985507,0.5773874865979757,0.8028985507246377,0.8028298891713526
28,0.7971014492753623,0.7855983086361978,0.6782608695652174,0.6370600943068976,0.6782608695652174,0.627871528301767,0.8869565217391304,0.8762273567669818
29,0.7014492753623188,0.6882457311584272,0.6695652173913044,0.6307679311358808,0.6028985507246377,0.5478081295759734,0.8405797101449275,0.8313217848868962
30,0.808695652173913,0.8063234511215865,0.6057971014492753,0.5595973364572352,0.6057971014492753,0.5922679706078232,0.9304347826086956,0.9285814068971965
31,0.8,0.8102166847600286,0.5623188405797102,0.5371994624883663,0.7565217391304347,0.7261284107584971,0.8782608695652174,0.8629853267752843
32,0.7304347826086957,0.6714743793336854,0.5159420289855072,0.4965369986755064,0.5362318840579711,0.4647801584984716,0.7275362318840579,0.6980531875516675
33,0.6086956521739131,0.5629473741187296,0.40062111801242234,0.3725345515503839,0.5993788819875776,0.5322657609052518,0.8229813664596274,0.7684319702524028
34,0.6463768115942029,0.6374717640083494,0.6840579710144927,0.6639230450297718,0.7565217391304347,0.7377723113972497,0.7913043478260869,0.7687717231682749
35,0.8666666666666667,0.8589544064975312,0.6,0.5496466765019247,0.6202898550724638,0.6015036252386837,0.9478260869565217,0.9451775856825387
36,0.6434782608695652,0.5963384228301962,0.5507246376811594,0.5123603231640731,0.5014492753623189,0.45889056804008754,0.7652173913043478,0.7279681493536804
37,0.7304347826086957,0.7265749099003238,0.6289855072463768,0.6057778280057841,0.6550724637681159,0.6314951077824198,0.8115942028985508,0.7966453485616581
38,0.7942028985507247,0.7843305712179004,0.6869565217391305,0.6729545696895729,0.6956521739130435,0.6665699910401789,0.9333333333333333,0.9342588846329367
39,0.6202898550724638,0.6194054028833348,0.6521739130434783,0.5961406885080601,0.6898550724637681,0.681660953590336,0.7942028985507247,0.7746519465419144
40,0.6579710144927536,0.6345366779629436,0.6,0.5616190642858256,0.591304347826087,0.5245671153224166,0.7681159420289855,0.7360440900096072
41,0.8521739130434782,0.8362567081342057,0.6231884057971014,0.5921110296488235,0.7043478260869566,0.6801763602047407,0.9304347826086956,0.9269285714285714
42,0.8028985507246377,0.7880187849883192,0.5159420289855072,0.45724483387862624,0.6376811594202898,0.6155152670072852,0.8492753623188406,0.8416201257847978
43,0.7950310559006211,0.779182465422698,0.5527950310559007,0.4993047752165551,0.7732919254658385,0.7626074058791376,0.8819875776397516,0.8767125369559444
44,0.6231884057971014,0.5840331829562362,0.5130434782608696,0.45628626799452404,0.5884057971014492,0.5568844172487324,0.8,0.7781572067513072
45,0.6801242236024845,0.6330076694444268,0.5900621118012422,0.5445942696430154,0.5900621118012422,0.5327499441661051,0.9006211180124224,0.8414406159784312
46,0.8136645962732919,0.8089314024410872,0.6863354037267081,0.6769661531523851,0.6894409937888198,0.6509534677640094,0.9627329192546584,0.9003436437478992
47,0.6789297658862876,0.6293041797763345,0.6387959866220736,0.5956362923246912,0.5919732441471572,0.5088138845281703,0.8394648829431438,0.7450677594181714
48,0.7681159420289855,0.7592932187771928,0.6231884057971014,0.5882356325547685,0.5768115942028985,0.5660493393325243,0.8347826086956521,0.8182515000905632
49,0.8,0.7758879803022024,0.6608695652173913,0.6398504785284447,0.744927536231884,0.719495428088859,0.9101449275362319,0.900344202352042
50,0.7159420289855073,0.6900540417896025,0.5884057971014492,0.5371562901406436,0.7159420289855073,0.7006098933381032,0.863768115942029,0.8535078949556285
51,0.8579710144927536,0.8497217639619913,0.6231884057971014,0.5884672166569945,0.7275362318840579,0.6808795887534775,0.936231884057971,0.9338502657456708
52,0.7014492753623188,0.6820293085315947,0.6144927536231884,0.5971061504457147,0.6869565217391305,0.6753359808430718,0.9217391304347826,0.9200871394003386
53,0.8173913043478261,0.7996610027447467,0.6463768115942029,0.64259804388661,0.6492753623188405,0.6036841899702513,0.9217391304347826,0.9231962799827113
54,0.5623188405797102,0.5428249423312449,0.5478260869565217,0.48219191420187113,0.7217391304347827,0.7041977915642407,0.5594202898550724,0.51122862515361
55,0.33043478260869563,0.2928619391003989,0.5942028985507246,0.5469493166505422,0.527536231884058,0.5086595492732489,0.5652173913043478,0.5420583777221545
56,0.7236024844720497,0.6848580967731387,0.5869565217391305,0.5584200005939108,0.5683229813664596,0.5457442441970953,0.8664596273291926,0.8697913162791753
mean,0.7089183332195754,0.6884628736829363,0.604312276750165,0.5698604981695532,0.6277737014538257,0.5916053347963014,0.824344185834869,0.8063764437501296
std,0.12947346601046314,0.13306381234737974,0.09519405928494087,0.10028997276924094,0.10934249378430552,0.11713976620157433,0.12308501111831975,0.12904135278245074
